"address","address_in_count","sum_granted","max_granted","min_granted","avg_granted","max_input_index","min_input_index","avg_input_index","max_output_index","min_output_index","avg_output_index"
"1F5ZBkfz9Z4ZVhdTvYaj2stydyR5x29AMw","1","546","546","546","546.0000000000000000","0","0","0.00000000000000000000","2","2","2.0000000000000000"
"1F5zDa7NZWvTVLFUtYMjNZgzeoUd4A66ai","3","421255","210000","97771","140418.333333333333","46","39","43.0000000000000000","5","0","1.6666666666666667"
"1F5zsyaZ586bP2JbpsHMqVeaW7UEmfHeTA","5","66036429","17998800","2838600","13207285.800000000000","9","1","3.4000000000000000","3","0","0.60000000000000000000"
"1F61f6ZDp5jq2EHBt91oBPLjkFmchpoUBL","1","16380","16380","16380","16380.0000000000000000","0","0","0.00000000000000000000","2","2","2.0000000000000000"
"1F61ptc3NH9wT1tRWATQR87SweubGhaHSz","1","546","546","546","546.0000000000000000","0","0","0.00000000000000000000","2","2","2.0000000000000000"
"1F61vcuGvbXwEfsRpvbFJNUBvEGSsMsxUL","11","74489226","50000000","400000","6771747.818181818182","86","0","37.2727272727272727","9","0","1.8181818181818182"
"1F62c5ZmGK4TZeVDn2fV2o74vrfKCxXaKN","3","8888748","4222170","2163461","2962916.000000000000","28","22","25.0000000000000000","9","0","4.0000000000000000"
"1F62T14f9XtM9g8jPL4a1LyRmAA9EfMzA5","62","570867821","30000000","7017188","9207545.500000000000","227","8","112.4354838709677419","466","2","351.8548387096774194"
"1F63KXuu7aooVr1KqYaK1mAXEMJA4yFzeH","1","3569000","3569000","3569000","3569000.000000000000","77","77","77.0000000000000000","12","12","12.0000000000000000"
"1F63NdRoMRgCQJUMBgBtxMhr2RfuXCEmtd","60","138936819","2711779","1409507","2315613.650000000000","234","0","113.7666666666666667","1329","223","270.2000000000000000"
"1F64DhksbZ5PQAq7PktonZJbnxdoGqoJTi","14","7644","546","546","546.0000000000000000","0","0","0.00000000000000000000","1","1","1.00000000000000000000"
"1F64oAyyVqjPLhfnaTmXem61g3t2kvERqj","1","546","546","546","546.0000000000000000","0","0","0.00000000000000000000","0","0","0.00000000000000000000"
"1F65cW3P5yTHtM6k5P3bT9npCYM1Ud1YQD","3","1638","546","546","546.0000000000000000","0","0","0.00000000000000000000","2","1","1.6666666666666667"
